coord_x,coord_y,category
-28.130368479314264,471.7080784485594,a
64.33167509433001,414.9176157576626,a
0.8283498231547171,446.06614933317104,a
19.446673733409497,481.7911434131366,a
55.10951678334128,432.3891046299052,a
49.638889626356686,457.91619806341845,a
58.55464282446104,490.7429276334834,a
22.461316686595254,460.1675724096991,a
86.19011554408523,498.1988995112069,a
74.79813085681774,449.9520471452678,a
95.83381407235473,496.51651116849,a
98.17493653904529,478.2519259089089,a
86.38752685959108,503.7342238542289,a
131.83176810089822,511.9293195553318,a
153.98333653333216,480.9938312439885,a
99.9774775124877,474.4928645060457,a
120.78588796388163,498.13594627690185,a
137.70154033628214,454.9766431458861,a
136.68661727809817,476.1945871214041,a
114.2507896122146,433.3559540040623,a
145.84481109948214,455.44196665886045,a
154.59560196363472,499.4868991103746,a
135.8227935536879,467.13790980725054,a
154.4511628234512,436.1226784090581,a
150.4379986664865,514.4299878535508,a
156.27685190136518,467.8983405573241,a
192.4097206734803,512.4082938930176,a
172.95557572820533,471.5240061605153,a
198.7167777966521,494.28219588796685,a
181.16722954983578,434.89225965253104,a
211.70820738028954,483.1840029327854,a
196.9904306530205,472.898497021962,a
206.48971265931803,468.43085202016744,a
145.10767711844608,478.4658027214321,a
201.56013965011863,420.0143785910077,a
182.61032663385663,466.8697057603582,a
162.54011100423492,453.77216603247024,a
236.95298077384328,487.639766989455,a
183.37789110027396,463.8540931679997,a
199.727725346821,439.869426388566,a
213.98360980521943,437.19310142726704,a
213.61494223714325,503.2601718570257,a
206.85713704165175,470.78042915386004,a
211.3448788762634,453.16969604333457,a
225.26225898476247,459.9481777164189,a
209.81237066110194,483.3859216660748,a
243.91186908622973,443.3774895704635,a
224.98555789839938,445.83290544391986,a
242.0637330377464,404.3076106095866,a
216.90023493495053,494.54141508665754,a
207.99456425712862,438.78715077697353,a
204.12318440219389,478.05388501585924,a
196.05324910744037,455.50933657223396,a
208.68499883310326,466.86600005803444,a
230.19911781183808,440.95542068803843,a
206.67283644215104,460.1848562441672,a
256.7159163952873,448.9905902427547,a
282.6760563057516,449.7891109846856,a
271.7084786131973,490.2943546981712,a
246.4738419246846,461.0346091124156,a
283.13147370588825,460.3176780304318,a
288.6790828924916,459.599243262231,a
260.4760245364167,464.68179294840115,a
296.7916357612982,429.1426260687895,a
261.273948397641,443.6208664051376,a
261.690566847492,441.8105082855141,a
248.5980185600581,447.53852058564166,a
293.55751460544525,447.07135997522187,a
248.30342498490103,436.5115002822517,a
244.28073909846876,425.0312316984251,a
293.87113320865683,429.1520391443131,a
319.0538505688445,412.4652521386861,a
293.7162044243444,417.30409658105464,a
279.5583235169456,409.09421991064386,a
257.93382989963436,400.1067105471359,a
301.0725945826654,438.5743723227048,a
293.8447802651112,424.4567472696983,a
310.161904893474,430.21159771575196,a
268.3066421824078,446.44201910737036,a
303.63797766297836,428.9527049578912,a
271.6909187769572,413.92513683348045,a
298.4392847723621,413.6591442562308,a
291.7033228955877,434.78338281808897,a
254.33172640147396,442.09471304749286,a
255.89305132104755,426.7747521302227,a
285.8371411364088,412.16660887023903,a
279.74862493316124,441.2073084465906,a
262.09940250706643,465.001597872901,a
293.5726459872294,398.7969898037905,a
306.0591003261043,445.7044184621401,a
